60,49,75,29.68,7,4,0.46
48,36,68,30.13,10,6,0
45,27,52,30.49,10,3,0
46,28,56,30.45,10,4,0
50,40,71,30.33,10,2,1
48,36,63,30.4,9,3,0
53,39,65,30.39,9,1,1
51,39,64,30.17,10,2,1
50,41,76,30.1,10,5,0
40,26,60,30.33,10,5,0
46,28,54,30.39,10,1,0
54,42,68,30.11,10,4,0
44,26,55,30.37,10,8,0
43,22,49,30.35,10,4,0
57,48,68,29.95,10,7,0
47,32,59,30.08,10,10,0
29,8,38,30.68,10,7,0
35,11,43,30.52,10,5,0
47,45,75,30.2,2,1,0.16
62,55,80,30.11,4,3,0
65,61,81,29.87,8,6,0.1
62,37,53,30.06,9,3,0
57,47,68,30.01,10,4,0.01
57,36,51,30.01,9,7,0
57,25,41,30.13,10,5,0
52,23,35,30.33,10,4,0
56,27,38,30.13,10,4,0
54,20,31,30.29,10,5,0
54,33,45,30.19,10,2,0
59,30,39,30.22,10,3,0
64,36,44,30,10,5,0
51,23,39,30.31,10,6,0
54,27,45,30.11,10,4,0
42,29,64,30.47,8,9,0.06
33,17,60,30.63,9,5,0.05
48,27,53,30.19,10,1,0
60,39,52,29.84,10,3,0
47,23,44,30.09,10,9,0.02
33,14,48,30.4,10,6,0.05
38,13,42,30.41,10,5,0
48,36,64,30.06,10,7,0
68,54,64,29.87,10,9,0
66,59,71,29.81,10,6,1
45,33,69,30.09,8,11,0.02
40,33,74,30.17,6,6,0
53,41,68,29.95,6,2,0.15
40,26,60,30.37,10,10,0
29,15,54,30.48,10,8,0
34,24,68,30.32,7,3,0
51,36,63,30.17,7,5,0
59,45,70,30.05,5,4,0
48,36,74,30.15,8,9,1
35,29,80,30.24,5,9,0.1
45,29,57,30.18,9,5,0
51,34,58,30.02,10,4,0
67,37,51,29.93,10,6,0
59,35,43,30.09,10,5,0
68,57,74,30.01,5,5,0
70,50,52,30.03,8,5,0
69,53,55,30,10,4,0
73,60,70,29.85,9,7,0
70,50,48,29.85,9,8,0
57,27,43,30.11,10,5,0
63,46,53,29.96,10,6,0
74,56,57,29.95,10,4,0
66,51,65,30.04,9,4,0
62,60,85,30.01,4,5,1
44,33,63,30.18,8,8,0.11
45,27,56,30.1,10,3,0
62,46,60,29.85,10,6,0
68,57,74,29.95,7,5,0
51,45,79,30.05,8,10,0.08
36,20,56,30.33,9,10,0.08
40,31,72,30.18,8,4,0.17
46,39,76,30.06,7,3,0
54,38,62,30.18,8,4,0
53,42,65,29.99,9,6,0
52,49,88,30.09,3,4,0.74
49,39,71,30.29,9,5,0.11
61,51,69,30.08,9,3,0.01
70,54,66,29.77,9,5,0
60,28,36,30.13,10,11,0
52,26,35,30.26,10,4,0
62,51,68,30.04,10,5,0
68,62,81,29.86,5,4,0.07
56,45,66,29.9,10,11,0
55,26,36,29.94,10,6,0
65,42,49,29.74,10,8,0
62,37,52,30.07,9,6,0
59,36,52,30.15,10,2,0
67,54,69,29.95,8,7,0
69,62,80,29.95,7,4,0
54,43,62,30.19,10,9,0
58,42,58,30.14,10,3,0
57,38,61,30.24,10,5,0
60,47,57,30.08,10,10,1
72,63,78,29.83,7,8,0.01
76,61,64,29.79,8,5,0
64,40,43,30.18,10,5,0
62,43,56,30.13,10,8,0
73,57,65,29.93,10,9,0
76,64,71,29.92,8,8,0
76,67,78,29.8,9,9,1
77,67,74,29.74,8,7,1
64,35,58,30.03,10,8,1
60,38,48,29.99,10,4,1
57,49,76,29.81,7,5,0.2
62,49,69,29.92,9,3,0.27
64,38,57,30.14,10,8,0
65,42,51,30.17,10,6,0
72,53,59,30.01,10,10,0
73,59,65,29.98,10,8,0
75,62,66,29.91,10,10,0
73,66,79,29.76,9,7,1
58,46,65,29.96,8,10,1.34
52,25,39,30.27,10,4,0
57,40,56,30.06,10,7,0
62,57,85,30.09,7,4,0.06
69,57,68,30.17,6,2,0.01
66,54,68,30.12,9,5,0
68,59,77,30.1,8,6,0
74,63,72,30.01,9,5,0.01
75,58,61,29.96,10,3,0
73,61,68,29.85,10,7,0
78,62,63,29.82,10,5,0
76,54,51,29.92,10,6,0
77,66,73,29.78,6,8,1
85,66,51,29.55,6,6,0
80,39,39,29.61,10,4,0
72,34,36,29.77,10,7,0
66,33,32,30.08,10,6,0
65,33,39,30.12,10,3,0
70,35,33,30.02,10,3,0
76,35,27,30,10,4,0
76,37,27,30.02,10,7,0
76,56,61,29.91,10,8,0
76,62,66,29.81,10,9,0
79,64,65,29.81,10,9,0
79,70,75,29.81,6,8,0.06
76,68,69,29.89,5,5,1
76,62,71,29.84,10,6,0
83,67,63,29.77,9,10,0
72,70,87,29.84,5,7,2.45
61,54,73,30.09,8,8,0.94
64,43,57,30.24,10,7,0.14
65,41,55,30.22,10,3,0
74,43,40,30.06,10,7,0
73,55,58,29.97,10,9,0
74,59,67,30.03,10,8,0
76,61,65,30,10,10,0
78,62,63,30.01,10,9,0
80,64,61,30.02,10,8,0
79,65,70,30.05,10,7,1
78,67,69,30.03,8,6,0.19
78,68,79,29.99,9,7,1
80,66,66,29.98,10,6,1
70,65,83,30,8,5,1.56
68,64,86,29.95,6,3,1.75
76,66,74,29.88,7,4,0
78,63,66,29.85,10,2,0
81,65,60,29.82,10,3,0
82,67,63,29.85,10,3,0
80,69,69,29.9,8,4,0
83,69,67,29.91,10,7,0
83,70,67,29.96,10,6,1
83,70,70,29.86,10,7,0
83,70,72,29.82,10,7,0
83,70,70,29.88,10,7,0
83,70,71,29.89,10,7,0
83,70,67,29.88,10,7,1
77,71,78,29.81,8,4,0.55
78,61,64,29.85,10,3,0
80,66,64,29.83,10,5,0
